T,E,C,target
48,0.5534,0.430348874,0.288974391
61,0.5539,0.419732901,0.29549991
49,0.5721,0.501270683,0.288786231
61,0.5721,0.498353546,0.294659268
49,0.5797,0.517457174,0.28875742
61,0.5904,0.448715739,0.296305423
61,0.5993,0.420428519,0.297186286
37,0.6061,0.470521168,0.284837983
49,0.6061,0.443339773,0.29118077
61,0.6073,0.45980743,0.296723452
49,0.6073,0.445255927,0.291188603
61,0.6073,0.561435275,0.294755962
37,0.6077,0.500035959,0.28432649
37,0.6188,0.503760846,0.284669978
37,0.6242,0.477339467,0.285383673
61,0.638,0.436935711,0.298315696
73,0.6478,0.428060699,0.304671002
25,0.6489,0.554106923,0.279005717
61,0.663,0.410125853,0.299770765
61,0.6812,0.453975753,0.299603277
49,0.6865,0.525194974,0.292606368
49,0.6865,0.502936602,0.293037285
61,0.6875,0.436426068,0.300178916
37,0.6883,0.538507359,0.286599477
49,0.6947,0.412376738,0.295097522
49,0.6952,0.510737735,0.293211998
49,0.7266,0.524616231,0.294118976
37,0.7266,0.530135301,0.288195566
49,0.7375,0.432190009,0.296316437
49,0.7389,0.402079086,0.296951795
61,0.7561,0.404856992,0.303358571
49,0.7576,0.46513825,0.296431141
37,0.7587,0.431262377,0.291311593
37,0.7705,0.556470562,0.289329403
49,0.7735,0.486906894,0.296605025
73,0.7768,0.402283157,0.31
49,0.7817,0.503844333,0.29658414
61,0.7866,0.45113115,0.30360468
61,0.7902,0.440337679,0.303948428
49,0.794,0.580609545,0.295558515
49,0.7945,0.410391532,0.298872614
49,0.6848,0.564772285,0.291776511
49,0.4972,0.414481363,0.287662084
61,0.4995,0.426877217,0.293324781
37,0.5359,0.580359104,0.280083156
37,0.5525,0.564494891,0.281011812
61,0.6174,0.535885735,0.295628754
13,0.1589,0.498344351,0.255922379
13,0.1595,0.574868919,0.254463348
13,0.1607,0.627845341,0.253482667
13,0.1614,0.544720167,0.255118159
25,0.178,0.525759627,0.261923321
13,0.1907,0.608276348,0.254984762
37,0.1909,0.594420198,0.266893626
25,0.2,0.673101562,0.25989453
31,0.2032,0.541901312,0.265462628
19,0.2062,0.508563842,0.260403795
25,0.2127,0.456698326,0.264559549
19,0.2183,0.730511908,0.256559978
13,0.2201,0.620216758,0.255854378
61,0.2242,0.486085743,0.281870879
19,0.2274,0.559090702,0.260219367
13,0.2278,0.563777303,0.257235332
25,0.2312,0.609885456,0.262286552
19,0.232,0.612655051,0.259354606
19,0.2354,0.543133816,0.260827821
13,0.236,0.560480121,0.257606184
